"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"07/03/2020",,248,435,977,,,1192,523,426,,94,318,94,,360,176,331,394,1092,2712,550,295,,
"07/04/2020",,235,324,895,,,1133,487,275,,52,240,56,,283,173,294,310,960,1881,449,301,,
"07/05/2020",,242,446,974,,,1174,516,427,,51,334,98,,365,169,329,395,1070,2662,555,298,,
"07/06/2020",,250,433,970,,,1172,515,415,,108,334,90,,364,243,328,481,1247,2735,547,502,,
"07/07/2020",,248,66,1330,,,1162,518,513,,91,140,86,,312,308,342,517,1248,2607,507,493,,
"07/08/2020",,254,202,1441,,,1156,513,538,,98,155,86,,312,315,368,531,1303,2597,505,515,,
"07/09/2020",,246,443,1732,,,1162,511,694,,101,292,90,,383,330,539,616,1352,2736,544,539,,
"07/10/2020",,244,435,1744,,,1213,526,695,,104,284,92,,382,332,540,622,1371,2735,544,551,,
"07/11/2020",,240,324,1657,,,1222,526,596,,78,237,70,,337,319,524,560,1279,2575,530,531,,
"07/12/2020",,240,444,1746,,,1216,525,694,,85,298,86,,393,323,542,616,1359,2719,551,547,,
"07/13/2020",,248,432,1743,,,1216,524,693,,107,289,90,,347,329,538,622,1367,2789,539,545,,
"07/14/2020",,244,43,1419,,,1210,525,544,,91,135,86,,290,312,368,541,1256,2639,492,489,,
"07/15/2020",,248,192,1442,,,1211,525,540,,98,135,94,,288,314,368,533,1317,2639,485,512,,
"07/16/2020",,246,441,1746,,,1214,525,695,,101,296,100,,357,330,540,617,1370,2789,526,522,,
"07/17/2020",,246,435,1746,,,1262,529,697,,103,280,102,,355,332,540,627,1388,2789,522,535,,
"07/18/2020",,242,324,1657,,,1272,528,598,,77,229,84,,306,318,524,568,1295,2631,514,520,,
"07/19/2020",,242,444,1746,,,1265,529,696,,85,297,100,,370,321,542,620,1375,2730,532,531,,
"07/20/2020",,250,432,1743,,,1262,528,694,,107,310,100,,349,327,538,620,1388,2792,519,529,,
"07/21/2020",,242,40,1418,,,1256,529,544,,91,126,96,,290,310,368,543,1277,2638,494,475,,
"07/22/2020",,250,192,1440,,,1256,529,540,,98,117,96,,288,311,368,539,1339,2638,485,499,,
"07/23/2020",,248,444,1744,,,1223,529,695,,101,290,100,,368,326,540,621,1384,2794,520,520,,
"07/24/2020",,248,435,1746,,,1233,555,697,,104,281,102,,369,328,540,623,1396,2797,514,534,,
"07/25/2020",,242,311,1657,,,1246,558,598,,80,215,84,,318,315,524,564,1304,2642,506,518,,
"07/26/2020",,244,442,1746,,,1214,559,696,,85,297,104,,389,319,542,616,1385,2685,523,529,,
"07/27/2020",,250,432,1743,,,1209,558,693,,107,296,101,,359,324,538,622,1393,2754,509,527,,
"07/28/2020",,246,38,1418,,,1189,559,542,,91,116,96,,298,309,368,543,1281,2602,472,475,,
"07/29/2020",,252,181,1440,,,1230,559,538,,98,108,96,,292,311,368,539,1343,2600,485,499,,
"07/30/2020",,248,442,1621,,,1233,560,600,,101,293,100,,369,320,515,567,1383,2752,522,520,,
"07/31/2020",,247,433,1595,,,1224,557,587,,104,304,102,,363,322,510,558,1402,2751,524,533,,
"08/01/2020",,300,316,1511,,,1545,592,495,,82,222,80,,308,312,500,515,1478,2595,532,518,,
"08/02/2020",,324,444,1597,,,1612,589,587,,86,298,102,,391,303,512,560,1572,2668,546,536,,
"08/03/2020",,330,431,1593,,,1599,587,587,,110,286,100,,311,314,509,567,1636,2734,533,691,,
"08/04/2020",,329,34,1290,,,1440,542,456,,99,114,96,,235,298,345,492,1542,2578,487,689,,
"08/05/2020",,330,218,1317,,,1444,543,440,,111,100,96,,231,302,344,488,1587,2578,304,692,,
"08/06/2020",,326,442,1607,,,1599,587,574,,110,282,100,,348,320,510,563,1645,2734,395,718,,
"08/07/2020",,334,435,1607,,,1606,589,574,,112,284,102,,343,320,510,563,1644,2734,395,716,,
"08/08/2020",,309,336,1506,,,1586,590,483,,103,199,80,,221,312,494,525,1589,2582,348,712,,
"08/09/2020",,318,448,1602,,,1605,589,573,,107,315,98,,325,323,508,562,1638,2660,398,724,,
"08/10/2020",,321,435,1599,,,1596,586,574,,112,294,106,,241,319,505,555,1637,2723,386,717,,
"08/11/2020",,315,61,1294,,,1437,542,440,,99,127,96,,161,303,339,486,1530,2729,275,692,,
"08/12/2020",,316,202,1316,,,1441,542,438,,111,109,96,,147,304,338,484,1577,2758,276,695,,
"08/13/2020",,314,440,1602,,,1594,586,574,,110,278,100,,310,320,506,557,1635,2810,391,722,,
"08/14/2020",,326,438,1601,,,1605,589,574,,112,286,102,,252,319,506,559,1634,2808,384,718,,
"08/15/2020",,305,291,1506,,,1584,590,483,,105,192,80,,215,312,494,526,1583,2690,333,714,,
"08/16/2020",,304,438,1603,,,1606,589,573,,107,304,98,,323,324,508,565,1636,2789,389,726,,
"08/17/2020",,305,424,1585,,,1566,589,570,,112,289,100,,241,317,504,553,1637,2808,378,717,,
"08/18/2020",,301,34,1273,,,1354,538,446,,99,123,96,,161,313,361,492,1522,2758,270,690,,
"08/19/2020",,302,58,1318,,,1362,539,446,,111,102,60,,148,319,366,492,1567,2758,268,695,,
"08/20/2020",,300,366,1607,,,1557,590,590,,110,281,60,,308,340,530,573,1631,2810,392,720,,
"08/21/2020",,313,291,1609,,,1564,593,590,,112,287,64,,248,340,530,577,1636,2808,383,716,,
"08/22/2020",,292,71,1508,,,1546,594,494,,103,190,56,,212,335,516,531,1570,2690,329,708,,
"08/23/2020",,300,354,1606,,,1571,593,586,,107,314,64,,319,340,534,575,1646,2788,390,722,,
"08/24/2020",,303,272,1603,,,1550,591,590,,112,295,62,,237,339,529,571,1636,2806,370,715,,
"08/25/2020",,299,10,1293,,,1352,538,448,,99,114,60,,161,318,369,494,1522,2756,268,690,,
"08/26/2020",,300,46,1319,,,1359,539,446,,111,103,60,,147,319,366,492,1569,2757,280,695,,
"08/27/2020",,298,364,1609,,,1565,591,590,,110,279,60,,304,339,530,575,1636,2823,394,717,,
"08/28/2020",,311,292,1609,,,1560,594,590,,112,282,64,,248,339,530,567,1638,2811,385,717,,
"08/29/2020",,290,58,1507,,,1538,595,494,,103,182,56,,212,329,516,530,1565,2688,331,710,,
"08/30/2020",,298,320,1606,,,1573,594,588,,107,298,64,,317,342,533,581,1634,2804,392,724,,
"08/31/2020",,298,250,1604,,,1542,589,590,,112,283,62,,245,338,529,573,1633,2808,376,712,,
"09/01/2020",,325,2,1294,,,1345,538,448,,99,113,53,,143,313,367,489,1513,2756,278,678,,
"09/02/2020",,328,22,1320,,,1356,541,446,,102,100,53,,132,319,364,464,1554,2756,282,591,,
"09/03/2020",,319,340,1606,,,1558,594,588,,107,283,53,,291,344,530,574,1661,2840,396,607,,
"09/04/2020",,329,330,1606,,,1569,593,599,,101,303,52,,246,346,530,574,1667,2834,387,609,,
"09/05/2020",,312,40,1268,,,1494,586,433,,58,177,44,,206,221,495,458,1401,2705,333,474,,
"09/06/2020",,320,312,1180,,,1488,575,443,,65,293,44,,295,234,410,440,1416,2000,397,525,,
"09/07/2020",,327,349,1489,,,1563,593,599,,106,310,52,,241,335,454,547,1649,2175,370,617,,
"09/08/2020",,322,6,1245,,,1326,594,448,,100,111,52,,162,316,362,448,1430,2128,250,531,,
"09/09/2020",,326,18,1237,,,1356,611,480,,100,117,53,,142,367,446,447,1507,1959,119,556,,
"09/10/2020",,317,330,1300,,,1535,668,505,,99,308,54,,289,383,470,558,1566,1966,270,591,,
"09/11/2020",,327,218,1330,,,1538,667,572,,97,294,52,,227,385,468,574,1601,1966,283,595,,
"09/12/2020",,310,44,1254,,,1517,670,558,,81,173,46,,190,371,410,493,1528,1966,177,562,,
"09/13/2020",,318,317,1326,,,1536,667,570,,93,305,44,,288,381,466,574,1606,1966,283,594,,
"09/14/2020",,325,220,1302,,,1517,667,504,,102,309,53,,230,380,468,563,1562,1966,281,599,,
"09/15/2020",,322,2,1119,,,1342,612,434,,73,114,52,,148,358,402,404,1440,1966,106,529,,
"09/16/2020",,326,16,1241,,,1372,613,492,,68,110,53,,136,378,458,469,1531,1966,120,556,,
"09/17/2020",,317,329,1303,,,1548,670,504,,67,305,53,,285,383,468,564,1591,1966,286,593,,
"09/18/2020",,327,228,1335,,,1555,669,570,,65,307,52,,226,385,468,578,1637,1966,282,595,,
"09/19/2020",,310,40,1256,,,1533,672,560,,59,181,44,,190,372,410,497,1550,1966,179,562,,
"09/20/2020",,318,324,1328,,,1557,669,572,,65,311,44,,288,382,466,577,1636,1966,284,594,,
"09/21/2020",,325,216,1302,,,1535,667,504,,70,310,52,,230,380,468,563,1608,1966,288,601,,
"09/22/2020",,322,2,1119,,,1347,612,434,,68,118,52,,148,358,402,404,1461,1966,105,531,,
"09/23/2020",,326,18,1241,,,1375,613,492,,68,111,53,,136,378,458,469,1546,1966,120,556,,
"09/24/2020",,317,332,1304,,,1554,670,504,,67,314,54,,285,383,468,564,1605,1966,289,593,,
"09/25/2020",,327,232,1332,,,1560,669,570,,65,313,52,,226,385,466,576,1631,1966,291,597,,
"09/26/2020",,310,42,1257,,,1539,670,558,,59,183,44,,190,372,410,497,1546,1966,184,558,,
"09/27/2020",,318,330,1329,,,1555,669,570,,65,315,44,,288,382,466,577,1638,1966,287,592,,
"09/28/2020",,325,226,1304,,,1535,667,504,,70,314,53,,230,380,468,563,1606,1966,299,596,,
"09/29/2020",,322,2,1120,,,1347,612,434,,68,119,52,,146,358,402,406,1459,1966,110,525,,
"09/30/2020",,326,30,1243,,,1371,611,492,,29,113,53,,144,381,458,467,1534,1966,124,546,,
"10/01/2020",,317,376,1318,,,1606,736,504,,,308,102,,362,384,468,579,1644,1966,299,729,,
"10/02/2020",,327,278,1349,,,1612,751,570,,,314,102,,327,381,468,603,1703,1966,301,784,,
"10/03/2020",,315,116,1257,,,1591,742,558,,,166,95,,225,344,410,497,1600,1966,190,741,,
"10/04/2020",,323,376,1329,,,1612,750,570,,,328,94,,368,381,466,607,1736,1966,301,787,,
"10/05/2020",,353,269,1303,,,1580,749,504,,,329,103,,329,380,468,589,1707,1966,295,788,,
"10/06/2020",,336,36,1104,,,1365,654,431,,,126,102,,195,318,402,402,1454,1966,106,659,,
"10/07/2020",,352,126,1117,,,1400,655,363,,,136,103,,189,289,395,448,1571,1968,179,706,,
"10/08/2020",,357,380,1362,,,1618,750,513,,,327,104,,368,318,506,643,1699,2282,377,785,,
"10/09/2020",,357,282,1453,,,1627,750,670,,,329,102,,336,334,516,654,1747,2280,369,792,,
"10/10/2020",,340,170,1273,,,1607,740,519,,,189,95,,229,287,442,518,1621,2224,257,741,,
"10/11/2020",,352,362,1445,,,1628,750,667,,,337,94,,376,331,516,657,1770,2267,383,796,,
"10/12/2020",,357,293,1429,,,1594,749,591,,,336,104,,342,332,513,641,1743,2263,365,796,,
"10/13/2020",,336,52,1169,,,1379,654,514,,,137,102,,196,274,342,442,1480,2062,184,659,,
"10/14/2020",,352,124,1162,,,1417,655,376,,,141,104,,190,272,405,464,1590,2070,187,706,,
"10/15/2020",,360,382,1388,,,1632,750,521,,,329,110,,365,319,506,647,1705,2148,388,796,,
"10/16/2020",,357,270,1477,,,1630,750,666,,,331,93,,324,332,514,656,1754,2188,379,806,,
"10/17/2020",,342,166,1311,,,1610,742,575,,,188,90,,225,285,438,536,1639,2189,259,761,,
"10/18/2020",,348,383,1459,,,1651,754,667,,,339,83,,373,333,516,659,1772,2294,387,807,,
"10/19/2020",,354,270,1448,,,1611,751,585,,,330,88,,330,332,513,641,1745,2134,375,809,,
"10/20/2020",,331,48,1179,,,1401,664,514,,,128,87,,168,272,342,444,1486,2002,184,675,,
"10/21/2020",,349,112,1172,,,1435,667,376,,,133,78,,170,270,405,464,1597,2002,186,723,,
"10/22/2020",,352,384,1386,,,1644,752,521,,,329,78,,346,318,506,647,1713,2078,388,799,,
"10/23/2020",,352,268,1475,,,1649,752,666,,,330,78,,301,332,514,656,1759,2066,379,806,,
"10/24/2020",,337,146,1310,,,1418,647,575,,,184,75,,205,285,438,517,1593,2030,256,761,,
"10/25/2020",,349,381,1460,,,1398,642,667,,,343,72,,382,333,516,636,1724,2053,390,807,,
"10/26/2020",,354,266,1451,,,1384,642,585,,,336,78,,334,332,513,620,1698,2004,375,809,,
"10/27/2020",,331,35,1181,,,1317,606,514,,,132,77,,191,272,342,432,1451,1926,198,675,,
"10/28/2020",,349,78,1172,,,1343,613,376,,,137,77,,184,270,405,449,1560,1918,194,723,,
"10/29/2020",,352,354,1387,,,1396,641,521,,,329,78,,369,318,506,625,1661,1981,394,799,,
"10/30/2020",,352,260,1476,,,1402,642,667,,,330,76,,312,332,514,631,1707,1983,378,805,,
"10/31/2020",,331,98,842,,,1218,539,245,,,186,75,,200,246,276,366,1422,1893,214,759,,
"11/01/2020",,348,354,1280,,,1331,617,604,,,337,77,,411,321,364,580,1681,1953,387,856,,
"11/02/2020",,362,256,1446,,,1323,595,587,,,330,89,,353,339,513,594,1687,1974,372,835,,
"11/03/2020",,332,24,1103,,,1156,495,373,,,133,88,,189,270,342,339,1394,1916,169,694,,
"11/04/2020",,352,58,1174,,,1253,542,508,,,101,86,,189,311,300,398,1577,1839,265,729,,
"11/05/2020",,360,355,1350,,,1409,646,546,,,278,87,,385,374,527,655,1686,2503,402,819,,
"11/06/2020",,364,248,1420,,,1420,649,600,,,290,88,,359,400,534,666,1695,2473,393,837,,
"11/07/2020",,337,86,1354,,,1436,649,594,,,143,78,,248,387,508,580,1583,1752,297,773,,
"11/08/2020",,352,360,1412,,,1709,755,600,,,283,80,,399,404,532,696,1758,2556,401,846,,
"11/09/2020",,362,247,1351,,,1705,752,548,,,291,90,,328,378,532,690,1755,2478,387,840,,
"11/10/2020",,332,6,1068,,,1510,666,369,,,89,88,,189,324,360,394,1486,1798,260,699,,
"11/11/2020",,352,60,1218,,,1529,670,539,,,99,86,,202,329,306,451,1654,1810,268,734,,
"11/12/2020",,360,362,1352,,,1729,754,548,,,277,86,,377,377,532,695,1745,2437,402,831,,
"11/13/2020",,364,252,1422,,,1738,754,600,,,292,89,,342,404,534,695,1754,2402,393,840,,
"11/14/2020",,338,90,1355,,,1707,743,594,,,143,79,,235,388,510,604,1643,1723,297,779,,
"11/15/2020",,352,350,1413,,,1733,755,600,,,283,79,,399,404,532,697,1767,2559,400,843,,
"11/16/2020",,362,243,1353,,,1705,752,548,,,289,89,,329,378,532,690,1763,2444,379,840,,
"11/17/2020",,332,4,1070,,,1510,666,369,,,89,89,,188,324,360,395,1489,1812,251,697,,
"11/18/2020",,353,40,1220,,,1528,670,539,,,102,109,,216,329,306,452,1658,1815,473,732,,
"11/19/2020",,367,330,1343,,,1718,742,548,,,340,116,,462,377,532,695,1760,2470,514,832,,
"11/20/2020",,386,310,1413,,,1910,781,598,,,353,119,,467,406,538,772,1877,2494,517,847,,
"11/21/2020",,370,134,1329,,,1909,782,594,,,219,108,,449,387,508,701,1798,2717,514,826,,
"11/22/2020",,385,374,1406,,,1920,788,598,,,350,107,,491,406,536,778,1895,2496,519,861,,
"11/23/2020",,389,299,979,,,1932,788,330,,,360,113,,456,344,256,494,1711,2936,515,781,,
"11/24/2020",,374,324,1361,,,1930,788,576,,,189,113,,429,390,534,731,1882,2933,519,822,,
"11/25/2020",,392,425,1414,,,1923,788,586,,,208,114,,452,393,544,747,1888,2928,519,829,,
"11/26/2020",,258,62,439,,,1242,504,97,,,293,114,,267,159,73,296,953,1914,416,478,,
"11/27/2020",,388,162,1082,,,1532,624,317,,,300,114,,418,319,403,538,1526,2532,502,787,,
"11/28/2020",,370,354,1403,,,1919,790,646,,,250,107,,463,471,538,825,1998,2728,518,974,,
"11/29/2020",,385,424,1498,,,1948,788,656,,,352,113,,549,496,542,843,2034,2918,523,1048,,
"11/30/2020",,388,342,1452,,,1961,788,653,,,362,119,,496,415,544,810,1928,2928,519,849,,
"12/01/2020",,329,,1204,,,1926,778,362,,,146,117,,326,350,486,588,1675,2424,495,784,,
"12/02/2020",,350,30,1126,,,1515,638,474,,,100,115,,245,305,296,538,1625,1749,181,691,,
"12/03/2020",,349,302,1298,,,1669,732,516,,,252,115,,386,385,520,745,1754,1744,378,786,,
"12/04/2020",,365,270,1356,,,1676,732,576,,,259,115,,312,409,522,740,1778,1745,361,793,,
"12/05/2020",,342,68,1125,,,1519,630,512,,,124,84,,242,377,310,565,1554,1614,254,717,,
"12/06/2020",,355,308,1348,,,1672,728,576,,,272,91,,389,410,524,741,1793,1751,383,796,,
"12/07/2020",,356,267,1349,,,1658,728,575,,,273,96,,298,410,524,741,1779,1752,356,790,,
"12/08/2020",,331,,987,,,1460,633,312,,,77,94,,179,304,352,487,1499,1744,185,662,,
"12/09/2020",,352,26,1105,,,1491,641,465,,,79,96,,167,305,298,533,1626,1742,193,678,,
"12/10/2020",,345,298,1297,,,1670,732,516,,,251,97,,386,385,522,745,1756,1746,382,785,,
"12/11/2020",,365,264,1354,,,1677,732,576,,,268,97,,292,411,524,738,1777,1746,361,790,,
"12/12/2020",,346,62,1117,,,1520,630,512,,,122,82,,233,375,310,565,1554,1616,250,721,,
"12/13/2020",,357,294,1341,,,1669,728,576,,,269,91,,388,410,524,741,1794,1746,381,792,,
"12/14/2020",,358,250,1349,,,1657,728,575,,,263,95,,305,408,522,745,1783,1734,347,784,,
"12/15/2020",,318,,985,,,1471,639,312,,,85,96,,204,306,352,490,1507,1734,168,661,,
"12/16/2020",,342,34,1098,,,1501,643,463,,,90,103,,203,307,298,532,1618,1744,475,685,,
"12/17/2020",,366,212,1337,,,1668,734,628,,,312,107,,427,412,514,759,1872,2390,497,951,,
"12/18/2020",,382,348,1377,,,1807,789,642,,,318,106,,430,411,524,795,1976,2394,504,979,,
"12/19/2020",,362,318,1288,,,1826,786,658,,,228,97,,484,395,551,796,1927,2742,506,933,,
"12/20/2020",,372,331,1354,,,1822,796,654,,,337,103,,475,411,523,801,1997,2420,509,998,,
"12/21/2020",,376,355,1375,,,1801,796,654,,,326,106,,437,412,524,795,1980,2414,498,979,,
"12/22/2020",,364,264,1376,,,1775,796,650,,,250,104,,423,414,524,796,1973,2415,510,973,,
"12/23/2020",,380,407,1363,,,1651,796,654,,,309,103,,482,412,524,797,2002,2955,508,991,,
"12/24/2020",,336,395,989,,,991,486,416,,,250,107,,298,317,408,531,1414,1795,507,785,,
"12/25/2020",,320,56,835,,,925,483,274,,,233,100,,290,256,292,458,1326,1766,506,774,,
"12/26/2020",,364,400,1283,,,1531,807,658,,,315,99,,500,398,551,795,1980,2736,510,927,,
"12/27/2020",,372,407,1355,,,1645,798,654,,,363,103,,516,413,523,804,1996,2954,512,963,,
"12/28/2020",,376,363,1375,,,1714,796,654,,,352,106,,472,412,524,805,1983,2408,508,979,,
"12/29/2020",,364,250,1378,,,1720,796,650,,,220,104,,421,412,524,806,1966,2416,508,973,,
"12/30/2020",,380,399,1363,,,1702,796,654,,,322,103,,461,411,524,804,1976,2436,508,975,,
"12/31/2020",,334,390,1009,,,1049,483,416,,,255,107,,293,316,377,481,1434,1770,504,797,,
"01/01/2021",,332,64,1154,,,1275,513,502,,,224,107,304,340,387,353,616,1567,1764,512,896,,
"01/02/2021",,362,399,1322,,,1753,795,672,,,298,101,315,509,401,554,798,1962,2741,508,910,,
"01/03/2021",,371,403,1423,,,1825,792,666,,,350,110,322,531,414,528,808,1993,2953,510,960,,
"01/04/2021",,372,305,1380,,,1801,781,653,,,334,111,318,488,399,515,800,1931,2421,508,976,,
"01/05/2021",,313,23,1031,,,1410,579,452,,,207,104,277,215,315,313,567,1548,2398,483,764,,
"01/06/2021",,330,48,1076,,,1429,587,486,,,104,102,280,201,326,312,581,1620,2396,218,713,,
"01/07/2021",,350,265,1300,,,1656,677,590,,,230,107,281,373,368,460,779,1720,1900,398,780,,
"01/08/2021",,352,260,1363,,,1663,678,644,,,226,113,283,288,384,462,785,1757,1900,388,780,,
"01/09/2021",,337,88,1112,,,1425,501,539,,,134,103,285,219,340,330,643,1526,1727,316,747,,
"01/10/2021",,354,270,1349,,,1659,677,639,,,247,107,287,374,388,460,786,1759,1902,402,782,,
"01/11/2021",,351,256,1301,,,1626,674,590,,,192,105,285,278,366,462,766,1729,1898,378,753,,
"01/12/2021",,310,,1078,,,1406,582,468,,,69,103,278,163,332,309,579,1546,1866,230,693,,
"01/13/2021",,331,48,1081,,,1422,587,486,,,85,102,280,173,326,313,577,1608,1864,234,695,,
"01/14/2021",,351,285,1303,,,1648,677,590,,,259,104,283,351,368,460,779,1713,1896,398,780,,
"01/15/2021",,352,298,1366,,,1663,678,644,,,270,111,281,277,384,462,786,1755,1906,386,785,,
"01/16/2021",,335,80,1099,,,1423,501,536,,,129,101,285,202,340,329,635,1520,1729,300,745,,
"01/17/2021",,352,262,1326,,,1421,500,638,,,261,106,287,356,386,421,680,1615,1914,398,786,,
"01/18/2021",,354,262,1283,,,1622,673,548,,,267,105,285,278,367,442,736,1719,1915,385,772,,
"01/19/2021",,312,,1082,,,1426,582,468,,,72,103,280,177,330,309,574,1539,1876,223,704,,
"01/20/2021",,329,48,1081,,,1422,587,486,,,72,102,280,175,325,313,577,1606,1862,230,698,,
"01/21/2021",,352,286,1303,,,1650,673,590,,,262,102,281,357,368,460,777,1714,1906,396,774,,
"01/22/2021",,352,288,1366,,,1666,678,644,,,257,105,283,265,384,462,780,1744,1908,382,774,,
"01/23/2021",,335,74,1112,,,1425,502,539,,,126,95,285,208,340,330,637,1518,1730,294,741,,
"01/24/2021",,350,271,1348,,,1657,677,639,,,262,96,287,353,388,460,778,1750,1911,398,782,,
"01/25/2021",,349,252,1299,,,1626,677,590,,,239,103,285,265,368,462,758,1720,1894,381,747,,
"01/26/2021",,312,2,1078,,,1404,580,468,,,72,97,280,162,332,309,576,1481,1862,222,674,,
"01/27/2021",,329,48,1081,,,1422,587,486,,,71,96,280,175,326,313,577,1605,1862,232,690,,
"01/28/2021",,349,286,1303,,,1646,677,590,,,259,102,281,360,368,460,779,1716,1894,396,766,,
"01/29/2021",,350,288,1366,,,1664,678,644,,,269,105,281,271,384,462,780,1744,1894,382,772,,
"01/30/2021",,340,78,1112,,,1427,500,539,,,140,95,288,198,340,330,635,1515,1720,306,740,,
"01/31/2021",,360,290,1348,,,1677,651,639,,,277,96,299,355,388,460,791,1760,1898,408,781,,
"02/01/2021",,366,285,1298,,,1644,684,590,,,249,102,291,264,371,462,764,1741,1894,387,744,,
"02/02/2021",,314,,1082,,,1443,583,468,,,80,94,284,155,336,309,594,1497,1862,229,669,,
"02/03/2021",,335,48,1084,,,1452,588,486,,,60,92,286,169,330,313,593,1621,1862,236,684,,
"02/04/2021",,360,286,1301,,,1671,687,590,,,271,95,289,337,372,460,781,1735,1898,408,766,,
"02/05/2021",,366,292,1365,,,1684,688,644,,,293,100,291,263,387,462,791,1768,1901,394,771,,
"02/06/2021",,349,84,1112,,,1450,508,539,,,143,93,293,198,340,330,653,1528,1720,309,740,,
"02/07/2021",,360,282,1345,,,1445,509,639,,,283,94,293,347,387,460,730,1632,1904,403,783,,
"02/08/2021",,367,282,1296,,,1641,685,590,,,283,101,293,268,371,462,769,1744,1901,383,750,,
"02/09/2021",,315,1,1079,,,1440,583,468,,,70,94,284,162,334,309,594,1566,1864,207,692,,
"02/10/2021",,340,205,1081,,,1457,588,486,,,69,93,284,196,324,314,593,1610,1866,278,685,,
"02/11/2021",,442,430,1294,,,1673,687,592,,,330,97,301,490,368,475,818,1762,1909,427,856,,
"02/12/2021",,450,441,1372,,,1686,688,646,,,362,102,308,480,396,486,846,1826,1919,423,875,,
"02/13/2021",,417,264,1111,,,1450,508,524,,,215,93,301,380,353,351,659,1566,1779,360,826,,
"02/14/2021",,446,411,1250,,,1447,509,518,,,327,94,306,494,379,456,751,1667,1934,427,876,,
"02/15/2021",,452,443,1297,,,1651,685,594,,,361,104,307,468,377,478,837,1808,1988,413,862,,
"02/16/2021",,426,129,1079,,,1452,583,458,,,166,98,295,318,343,330,596,1575,1890,287,744,,
"02/17/2021",,437,236,1084,,,1469,587,478,,,138,96,295,324,341,332,597,1631,1892,291,753,,
"02/18/2021",,447,457,1307,,,1681,688,594,,,311,95,306,504,370,478,837,1796,1916,425,872,,
"02/19/2021",,449,407,1366,,,1688,688,646,,,325,100,308,467,395,477,845,1824,1919,415,874,,
"02/20/2021",,417,270,1121,,,1454,512,524,,,214,93,299,380,355,350,667,1565,1776,364,820,,
"02/21/2021",,446,444,1346,,,1680,690,640,,,307,94,306,502,393,477,843,1833,1919,427,881,,
"02/22/2021",,452,405,1299,,,1656,686,594,,,311,104,307,455,377,478,837,1808,1914,411,858,,
"02/23/2021",,426,94,1079,,,1452,583,458,,,138,98,295,294,342,330,595,1561,1890,284,728,,
"02/24/2021",,437,224,1084,,,1469,586,478,,,138,96,295,297,341,332,598,1631,1890,288,741,,
"02/25/2021",,447,443,1307,,,1681,687,594,,,289,97,306,490,370,478,838,1796,1914,425,868,,
"02/26/2021",,449,411,1366,,,1688,688,646,,,332,101,308,451,395,477,845,1826,1915,415,870,,
"02/27/2021",,417,258,1110,,,1454,512,524,,,208,93,299,359,349,348,667,1561,1776,362,814,,
"02/28/2021",,446,445,1341,,,1680,690,640,,,309,94,306,491,395,477,841,1829,1921,427,878,,
"03/01/2021",,453,419,1299,,,1657,684,594,,,315,105,306,450,376,478,831,1809,1918,412,854,,
"03/02/2021",,425,125,1078,,,1632,624,458,,,139,103,298,282,342,328,620,1582,1890,288,731,,
"03/03/2021",,435,278,1079,,,1682,634,477,,,135,100,299,290,338,330,630,1667,1890,305,740,,
